[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Balance Sheet],[Balance Sheet_Name],[US 1120 Balance Sheet],[US 1120 Balance Sheet_Name],[Profit & Loss],[Profit & Loss_Name],[US 1120 Income Statement],[US 1120 Income Statement_Name],[Cash Flow],[Cash Flow_Name]
,,,,,,,,,15_,Total Current Assets,,,,,,,,
1,資產,,Asset,,,Yes,,,1,Assets,15,Total Assets,,,,,,
11,Cash,,Asset,,,Yes,,1,11,Cash,1,Cash,,,,,,
11-12,流動資產,,Asset,,,Yes,,1,,,,,,,,,,
111,現金及約當現金,,Asset,,,Yes,,11-12,,,,,,,,,,
11100,Checking Account,Bank Asset,Asset,,Yes,,B_ASSET_ACCT,11,,,,,,,,,,
11110,Checking In-Transfer,Bank transactions in transit,Asset,,Yes,,B_INTRANSIT_ACCT,11,,,,,,,,,,
11120,Checking Unidentified Receipts,Receipts from unidentified customer,Asset,,Yes,,,11,,,,,,,,,,
11130,Checking Unallocated Receipts,"Received, unallocated payments",Asset,,Yes,,B_UNALLOCATEDCASH_ACCT,11,,,,,,,,,,
112,短期投資,,Asset,,,Yes,,11-12,,,,,,,,,,
11200,Checking Account 2,,Asset,,,,,11,,,,,,,,,,
113,應收票據,,Asset,,,Yes,,11-12,,,,,,,,,,
11300,Savings Account,,Asset,,,,,11,,,,,,,,,,
114,應收帳款,,Asset,,,Yes,,11-12,,,,,,,,,,
118,其他應收款,,Asset,,,Yes,,11-12,,,,,,,,,,
11800,Cash in Registers,,Asset,,,,,11,,,,,,,,,,
11900,Petty Cash,Cash Book Asset,Asset,,Yes,,CB_ASSET_ACCT,11,,,,,,,,,,
11910,Petty Cash In-Transfer,Cash Book Transfer,Asset,,Yes,,CB_CASHTRANSFER_ACCT,11,,,,,,,,,,
12,Accounts Receivable,,Asset,,,Yes,,1,12,Accounts Receivable,,,,,,,,
121,Accounts Receivable - Trade,,Asset,,,Yes,,12,,,,,,,,,,
121-122,存貨,,Asset,,,Yes,,11-12,,,,,,,,,,
12110,Accounts Receivable - Trade,Accounts Receivables,Asset,,Yes,,C_RECEIVABLE_ACCT,121,,,2a,Trade nodes and accounts receivables,,,,,,
12115,Accounts Receivable Services - Trade,Accounts Receivables for Services,Asset,,Yes,,C_RECEIVABLE_SERVICES_ACCT,121,,,2a,Trade nodes and accounts receivables,,,,,,
12120,A/R Non Sufficient Funds Returned Checks,,Asset,,,,,121,,,2a,,,,,,,
12180,A/R Trade Allowance for Bad Debit,,Asset,,,,,121,,,2b,Less allowances for bad debts,,,,,,
12190,Not invoiced receivables,We delivered but have not invoiced yet,Asset,,Yes,,,121,,,2a,,,,,,,
122,Credit Card in Transit,,Asset,,,Yes,,12,,,,,,,,,,
12210,In Transit A/R Amex,,Asset,,,,,122,,,2a,,,,,,,
12220,In Transit A/R Master Card,,Asset,,,,,122,,,2a,,,,,,,
12230,In Transit A/R Visa,,Asset,,,,,122,,,2a,,,,,,,
12240,In Transit A/R ATM Cards,,Asset,,,,,122,,,2a,,,,,,,
12290,A/R Credit Cards Allowance for Bad Debit,,Asset,,,,,122,,,2b,,,,,,,
12300,Vendor Allowances Receivable,,Asset,,,,,12,,,2a,,,,,,,
124,Loans Receivable,,Asset,,,Yes,,12,,,,,,,,,,
12410,Loans Receivable Employees,,Asset,,,,,124,,,2a,,,,,,,
12420,Loans Receivable Owners/Shareholders,,Asset,,,,,124,,,7,Loans to Shareholders,,,,,,
12440,Loans Receivable Others,,Asset,,,,,124,,,2a,,,,,,,
125,預付費用,,Asset,,,Yes,,11-12,,,,,,,,,,
12510,Vendor prepayment,Prepayments for future expense,Asset,,Yes,,V_PREPAYMENT_ACCT,125,,,2a,,,,,,,
12520,Employee Expense Prepayment,Expense advances,Asset,,Yes,,,125,,,2a,,,,,,,
126,Tax receivables,,Asset,,,Yes,,12,,,,,,,,,,
12610,Tax credit A/R,Tax to be reimbursed - before tax declaration,Asset,,Yes,,T_CREDIT_ACCT,126,,,6,,,,,,,
12620,Tax receivables,Tax to receive based on tax declaration,Asset,,Yes,,,126,,,6,,,,,,,
12800,Intercompany Due From,Default Receivables account for intercompany trx,Asset,,Yes,,INTERCOMPANYDUEFROM_ACCT,12,,,6,,,,,,,
12900,A/R Miscellaneous,,Asset,,,,,12,,,2a,,,,,,,
13,Investments,,Asset,,,Yes,,1,13,Investments,,,,,,,,
13100,US Government Obligations,,Asset,,,,,13,,,4,US Government Obligations,,,,,,
13200,Tax-Exempt Securities,,Asset,,,,,13,,,5,Tax-Exempt Securities,,,,,,
13300,Other Investments,,Asset,,,,,13,,,9,Other Investments,,,,,,
14,Inventory,,Asset,,,Yes,,1,14,Inventory,3,Inventories,,,,,,
14100,General Trade Inventory,Inventory Account,Asset,,Yes,,,14,,,,,,,,,,
14120,Product asset,Product Inventory Account,Asset,,Yes,,P_ASSET_ACCT,14,,,,,,,,,,
14130,Work In Process,Work In Process Account,Asset,,Yes,,,14,,,,,,,,,,
14140,Floor Stock,Floor Stock Account,Asset,,Yes,,,14,,,,,,,,,,
15,"Prepaid Expenses, Deposits & Other Current Assets",,Asset,,,Yes,,1,15,"Prepaid Expenses, Deposits & Other Current Assets",6,Other Current Assets,,,,,,
151,Prepaid Expenses,,Asset,,,Yes,,15,,,,,,,,,,
15110,Prepaid Insurance,,Asset,,,,,151,,,,,,,,,,
15120,Prepaid Rent,,Asset,,,,,151,,,,,,,,,,
15130,Prepaid Interest,,Asset,,,,,151,,,,,,,,,,
15190,Prepaid Others,,Asset,,,,,151,,,,,,,,,,
152,Deposits,,Asset,,,Yes,,15,,,,,,,,,,
15210,Deposit Rent,,Asset,,,,,152,,,,,,,,,,
15220,Deposit Utilities,,Asset,,,,,152,,,,,,,,,,
15290,Deposit Others,,Asset,,,,,152,,,,,,,,,,
153,Other Current Assets,,Asset,,,Yes,,15,,,,,,,,,,
15300,Other Current Assets,,Asset,,,,,153,,,,,,,,,,
16,Land and Building,,Asset,,,Yes,,1,16,Land and Building,,,,,,,,
16100,Land,,Asset,,,,,16,,,12,Land,,,,,,
16200,Building,,Asset,,,,,16,,,10a,Buildings and other depreciable assets,,,,,,
16300,Land Improvements,,Asset,,,,,16,,,10a,,,,,,,
16400,Building Improvements,,Asset,,,,,16,,,10a,,,,,,,
16500,Leasehold Improvements,,Asset,,,,,16,,,10a,,,,,,,
17,"Furniture, Fixtures & Equipment",,Asset,,,Yes,,1,17,"Furniture, Fixtures & Equipment",10a,,,,,,,
17100,Furniture,,Asset,,,,,17,,,,,,,,,,
17200,Fixtures,,Asset,,,,,17,,,,,,,,,,
17300,Equipment,,Asset,,,,,17,,,,,,,,,,
17400,Vehicles,,Asset,,,,,17,,,,,,,,,,
17500,Data Processing Equipment,,Asset,,,,,17,,,,,,,,,,
17600,Software,,Asset,,,,,17,,,,,,,,,,
177,Project Assets,,Asset,,,Yes,,17,,,10a,,,,,,,
17710,Project asset,Created Asset,Asset,,Yes,,PJ_ASSET_ACCT,177,,,,,,,,,,
17720,Project WIP,Asset Work in Progress,Asset,,Yes,,PJ_WIP_ACCT,177,,,,,,,,,,
18,Accumulated Depreciation,,Asset,,,Yes,,1,18,Accumulated Depreciation,10b,Less accumulated depreciation,,,,,,
18120,Building Accumulated Depreciation,,Asset,,,,,18,,,,,,,,,,
18130,Land Improvement Accumulated Depreciation,,Asset,,,,,18,,,,,,,,,,
18140,Building Improvement Accumulated Depreciation,,Asset,,,,,18,,,,,,,,,,
